,data,labels,counterfactual_data,var_0,counter_var_0
3517,31 50 113,81,40 68 113,81,108
3518,3 41 113,44,72 88 113,44,47
3519,57 112 113,56,5 98 113,56,103
3520,32 0 113,32,11 40 113,32,51
3521,30 53 113,83,33 48 113,83,81
3522,112 77 113,76,50 68 113,76,5
3523,31 22 113,53,24 13 113,53,37
3524,39 94 113,20,22 109 113,20,18
3525,13 44 113,57,90 105 113,57,82
3526,109 10 113,6,86 7 113,6,93
3527,69 82 113,38,51 38 113,38,89
3528,29 25 113,54,84 17 113,54,101
3529,105 72 113,64,57 111 113,64,55
3530,95 60 113,42,102 58 113,42,47
3531,90 32 113,9,68 24 113,9,92
3532,104 57 113,48,59 2 113,48,61
3533,110 95 113,92,56 105 113,92,48
3534,63 1 113,64,108 11 113,64,6
3535,70 98 113,55,82 27 113,55,109
3536,48 21 113,69,72 70 113,69,29
3537,8 30 113,38,88 10 113,38,98
3538,85 59 113,31,41 0 113,31,41
3539,11 74 113,85,25 91 113,85,3
3540,98 7 113,105,37 65 113,105,102
3541,81 53 113,21,80 9 113,21,89
3542,76 33 113,109,38 10 113,109,48
3543,86 37 113,10,91 110 113,10,88
3544,16 9 113,25,87 30 113,25,4
3545,58 53 113,111,108 43 113,111,38
3546,109 93 113,89,86 98 113,89,71
3547,38 91 113,16,44 28 113,16,72
3548,25 71 113,96,67 30 113,96,97
3549,34 22 113,56,10 41 113,56,51
3550,96 89 113,72,3 57 113,72,60
3551,65 90 113,42,112 80 113,42,79
3552,57 69 113,13,74 16 113,13,90
3553,27 96 113,10,9 40 113,10,49
3554,79 26 113,105,80 8 113,105,88
3555,70 106 113,63,80 56 113,63,23
3556,66 75 113,28,10 16 113,28,26
3557,36 95 113,18,3 42 113,18,45
3558,70 16 113,86,2 29 113,86,31
3559,83 14 113,97,59 45 113,97,104
3560,66 48 113,1,69 93 113,1,49
3561,86 98 113,71,27 101 113,71,15
3562,53 96 113,36,4 67 113,36,71
3563,35 85 113,7,63 9 113,7,72
3564,89 86 113,62,71 66 113,62,24
3565,49 24 113,73,45 61 113,73,106
3566,99 110 113,96,111 19 113,96,17
3567,98 49 113,34,83 56 113,34,26
3568,79 60 113,26,95 25 113,26,7
3569,31 47 113,78,112 87 113,78,86
3570,90 57 113,34,23 1 113,34,24
3571,106 14 113,7,33 78 113,7,111
3572,77 62 113,26,104 11 113,26,2
3573,77 71 113,35,94 7 113,35,101
3574,72 102 113,61,72 2 113,61,74
3575,51 49 113,100,29 77 113,100,106
3576,75 0 113,75,81 10 113,75,91
3577,77 72 113,36,12 14 113,36,26
3578,98 21 113,6,23 84 113,6,107
3579,15 104 113,6,10 88 113,6,98
3580,12 80 113,92,60 107 113,92,54
3581,60 49 113,109,55 24 113,109,79
3582,60 100 113,47,23 101 113,47,11
3583,82 69 113,38,47 23 113,38,70
3584,22 24 113,46,22 86 113,46,108
3585,60 78 113,25,65 7 113,25,72
3586,85 75 113,47,90 1 113,47,91
3587,28 78 113,106,106 32 113,106,25
3588,37 102 113,26,25 45 113,26,70
3589,33 52 113,85,23 99 113,85,9
3590,26 42 113,68,85 104 113,68,76
3591,93 15 113,108,57 86 113,108,30
3592,75 101 113,63,22 106 113,63,15
3593,74 49 113,10,53 84 113,10,24
3594,95 55 113,37,23 76 113,37,99
3595,0 8 113,8,46 78 113,8,11
3596,78 43 113,8,36 61 113,8,97
3597,98 5 113,103,33 8 113,103,41
3598,63 93 113,43,31 65 113,43,96
3599,10 24 113,34,76 91 113,34,54
3600,44 105 113,36,73 109 113,36,69
3601,85 88 113,60,63 58 113,60,8
3602,94 99 113,80,31 0 113,80,31
3603,29 90 113,6,90 53 113,6,30
3604,27 76 113,103,13 73 113,103,86
3605,31 29 113,60,69 108 113,60,64
3606,70 77 113,34,42 97 113,34,26
3607,96 25 113,8,17 18 113,8,35
3608,93 97 113,77,70 108 113,77,65
3609,59 81 113,27,20 94 113,27,1
3610,102 61 113,50,82 30 113,50,112
3611,52 21 113,73,62 38 113,73,100
3612,56 99 113,42,6 110 113,42,3
3613,84 59 113,30,78 12 113,30,90
3614,96 34 113,17,104 32 113,17,23
3615,74 12 113,86,74 86 113,86,47
3616,4 6 113,10,44 31 113,10,75
3617,69 29 113,98,9 16 113,98,25
3618,41 32 113,73,102 19 113,73,8
3619,99 99 113,85,24 90 113,85,1
3620,52 101 113,40,101 104 113,40,92
3621,47 59 113,106,8 104 113,106,112
3622,72 93 113,52,100 91 113,52,78
3623,41 88 113,16,36 54 113,16,90
3624,76 23 113,99,80 48 113,99,15
3625,7 25 113,32,33 37 113,32,70
3626,38 20 113,58,108 1 113,58,109
3627,42 87 113,16,47 98 113,16,32
3628,102 29 113,18,24 45 113,18,69
3629,16 41 113,57,12 8 113,57,20
3630,1 87 113,88,53 7 113,88,60
3631,93 77 113,57,75 70 113,57,32
3632,8 17 113,25,28 31 113,25,59
3633,82 10 113,92,74 106 113,92,67
3634,111 72 113,70,66 68 113,70,21
3635,18 43 113,61,12 100 113,61,112
3636,67 19 113,86,39 102 113,86,28
3637,33 15 113,48,26 53 113,48,79
3638,96 2 113,98,91 11 113,98,102
3639,110 58 113,55,46 75 113,55,8
3640,19 56 113,75,28 65 113,75,93
3641,13 108 113,8,78 19 113,8,97
3642,54 68 113,9,43 81 113,9,11
3643,62 3 113,65,31 34 113,65,65
3644,90 90 113,67,45 105 113,67,37
3645,7 65 113,72,88 9 113,72,97
3646,100 20 113,7,3 107 113,7,110
3647,17 94 113,111,85 7 113,111,92
3648,9 22 113,31,68 26 113,31,94
3649,46 58 113,104,95 26 113,104,8
3650,73 27 113,100,93 64 113,100,44
3651,51 77 113,15,55 88 113,15,30
3652,24 23 113,47,54 94 113,47,35
3653,40 66 113,106,45 94 113,106,26
3654,46 43 113,89,99 49 113,89,35
3655,104 24 113,15,19 32 113,15,51
3656,24 18 113,42,81 14 113,42,95
3657,5 4 113,9,20 16 113,9,36
3658,23 80 113,103,33 53 113,103,86
3659,96 61 113,44,57 40 113,44,97
3660,83 110 113,80,26 7 113,80,33
3661,106 67 113,60,46 27 113,60,73
3662,103 52 113,42,79 84 113,42,50
3663,64 106 113,57,83 49 113,57,19
3664,71 71 113,29,52 110 113,29,49
3665,101 85 113,73,81 53 113,73,21
3666,71 14 113,85,88 52 113,85,27
3667,85 23 113,108,42 3 113,108,45
3668,41 57 113,98,94 65 113,98,46
3669,22 17 113,39,72 56 113,39,15
3670,41 4 113,45,78 30 113,45,108
3671,32 42 113,74,67 20 113,74,87
3672,66 71 113,24,103 48 113,24,38
3673,82 56 113,25,96 1 113,25,97
3674,97 16 113,0,26 22 113,0,48
3675,56 37 113,93,72 44 113,93,3
3676,50 46 113,96,37 74 113,96,111
3677,37 81 113,5,10 81 113,5,91
3678,9 34 113,43,109 14 113,43,10
3679,82 19 113,101,1 48 113,101,49
3680,10 79 113,89,39 90 113,89,16
3681,104 49 113,40,110 13 113,40,10
3682,39 10 113,49,51 39 113,49,90
3683,50 111 113,48,94 97 113,48,78
3684,35 43 113,78,19 56 113,78,75
3685,67 16 113,83,15 32 113,83,47
3686,66 78 113,31,55 39 113,31,94
3687,19 28 113,47,17 39 113,47,56
3688,89 106 113,82,47 31 113,82,78
3689,13 63 113,76,5 45 113,76,50
3690,60 71 113,18,73 14 113,18,87
3691,51 8 113,59,26 72 113,59,98
3692,79 49 113,15,59 77 113,15,23
3693,59 61 113,7,103 5 113,7,108
3694,1 5 113,6,65 49 113,6,1
3695,12 19 113,31,96 94 113,31,77
3696,14 108 113,9,76 78 113,9,41
3697,10 90 113,100,68 67 113,100,22
3698,9 87 113,96,37 89 113,96,13
3699,82 103 113,72,63 75 113,72,25
3700,81 55 113,23,25 10 113,23,35
3701,95 9 113,104,77 48 113,104,12
3702,102 16 113,5,99 28 113,5,14
3703,67 13 113,80,27 41 113,80,68
3704,86 100 113,73,98 25 113,73,10
3705,22 19 113,41,36 56 113,41,92
3706,26 66 113,92,68 53 113,92,8
3707,12 28 113,40,38 27 113,40,65
3708,30 98 113,15,105 107 113,15,99
3709,18 9 113,27,38 32 113,27,70
3710,5 52 113,57,100 23 113,57,10
3711,56 43 113,99,2 61 113,99,63
3712,41 68 113,109,55 53 113,109,108
3713,35 1 113,36,34 2 113,36,36
3714,75 72 113,34,85 29 113,34,1
3715,56 4 113,60,107 48 113,60,42
3716,86 53 113,26,3 46 113,26,49
3717,90 85 113,62,95 45 113,62,27
3718,31 107 113,25,0 91 113,25,91
3719,89 83 113,59,23 27 113,59,50
3720,53 82 113,22,91 62 113,22,40
3721,85 95 113,67,56 1 113,67,57
3722,85 35 113,7,105 58 113,7,50
3723,55 69 113,11,88 6 113,11,94
3724,49 9 113,58,52 43 113,58,95
3725,5 87 113,92,61 44 113,92,105
3726,6 60 113,66,29 33 113,66,62
3727,82 40 113,9,84 94 113,9,65
3728,2 93 113,95,8 20 113,95,28
3729,95 44 113,26,21 27 113,26,48
3730,9 44 113,53,49 61 113,53,110
3731,13 42 113,55,110 91 113,55,88
3732,26 65 113,91,86 73 113,91,46
3733,53 84 113,24,6 58 113,24,64
3734,65 105 113,57,20 24 113,57,44
3735,53 60 113,0,35 12 113,0,47
3736,39 27 113,66,4 68 113,66,72
3737,52 90 113,29,30 59 113,29,89
3738,83 47 113,17,97 42 113,17,26
3739,80 111 113,78,92 91 113,78,70
3740,111 103 113,101,47 57 113,101,104
3741,99 2 113,101,37 86 113,101,10
3742,32 104 113,23,32 59 113,23,91
3743,112 50 113,49,85 31 113,49,3
3744,78 8 113,86,78 87 113,86,52
3745,8 34 113,42,70 99 113,42,56
3746,61 82 113,30,76 45 113,30,8
3747,22 87 113,109,7 30 113,109,37
3748,109 9 113,5,66 53 113,5,6
3749,48 6 113,54,75 105 113,54,67
3750,40 16 113,56,86 60 113,56,33
3751,86 67 113,40,4 69 113,40,73
3752,89 35 113,11,35 96 113,11,18
3753,79 29 113,108,12 6 113,108,18
3754,11 100 113,111,49 67 113,111,3
3755,34 50 113,84,66 37 113,84,103
3756,51 105 113,43,62 67 113,43,16
3757,56 40 113,96,93 89 113,96,69
3758,97 110 113,94,69 97 113,94,53
3759,89 59 113,35,43 8 113,35,51
3760,75 45 113,7,79 109 113,7,75
3761,49 68 113,4,22 63 113,4,85
3762,99 44 113,30,10 50 113,30,60
3763,60 67 113,14,89 42 113,14,18
3764,106 62 113,55,42 94 113,55,23
3765,105 102 113,94,100 28 113,94,15
3766,91 75 113,53,89 74 113,53,50
3767,58 58 113,3,40 99 113,3,26
3768,70 64 113,21,102 22 113,21,11
3769,97 102 113,86,17 35 113,86,52
3770,25 90 113,2,89 7 113,2,96
3771,77 76 113,40,68 21 113,40,89
3772,35 103 113,25,26 23 113,25,49
3773,18 55 113,73,112 15 113,73,14
3774,81 25 113,106,15 96 113,106,111
3775,96 68 113,51,71 17 113,51,88
3776,10 102 113,112,21 91 113,112,112
3777,25 41 113,66,12 99 113,66,111
3778,8 51 113,59,78 45 113,59,10
3779,91 54 113,32,62 2 113,32,64
3780,14 85 113,99,38 66 113,99,104
3781,65 72 113,24,49 12 113,24,61
3782,67 30 113,97,0 64 113,97,64
3783,70 101 113,58,111 11 113,58,9
3784,99 74 113,60,60 87 113,60,34
3785,74 68 113,29,37 14 113,29,51
3786,12 99 113,111,86 36 113,111,9
3787,46 71 113,4,46 107 113,4,40
3788,6 65 113,71,64 31 113,71,95
3789,62 97 113,46,68 83 113,46,38
3790,68 4 113,72,4 63 113,72,67
3791,60 80 113,27,26 54 113,27,80
3792,105 71 113,63,53 69 113,63,9
3793,103 84 113,74,60 66 113,74,13
3794,43 77 113,7,99 93 113,7,79
3795,59 80 113,26,1 53 113,26,54
3796,65 74 113,26,66 70 113,26,23
3797,42 47 113,89,55 99 113,89,41
3798,86 34 113,7,68 58 113,7,13
3799,62 14 113,76,59 110 113,76,56
3800,66 101 113,54,64 57 113,54,8
3801,102 82 113,71,18 66 113,71,84
3802,21 90 113,111,109 23 113,111,19
3803,50 89 113,26,16 69 113,26,85
3804,43 0 113,43,20 58 113,43,78
3805,55 70 113,12,38 82 113,12,7
3806,102 93 113,82,72 65 113,82,24
3807,85 101 113,73,25 105 113,73,17
3808,39 89 113,15,64 94 113,15,45
3809,43 99 113,29,63 90 113,29,40
3810,73 97 113,57,63 0 113,57,63
3811,50 10 113,60,91 28 113,60,6
3812,17 50 113,67,11 30 113,67,41
3813,63 0 113,63,41 100 113,63,28
3814,24 33 113,57,34 75 113,57,109
3815,86 70 113,43,2 92 113,43,94
3816,24 86 113,110,90 3 113,110,93
3817,13 3 113,16,16 79 113,16,95
3818,73 78 113,38,18 105 113,38,10
3819,51 87 113,25,22 9 113,25,31
3820,54 12 113,66,92 61 113,66,40
3821,84 29 113,0,87 19 113,0,106
3822,39 64 113,103,35 74 113,103,109
3823,25 2 113,27,69 77 113,27,33
3824,50 91 113,28,23 12 113,28,35
3825,100 49 113,36,87 112 113,36,86
3826,81 110 113,78,76 55 113,78,18
3827,13 77 113,90,6 102 113,90,108
3828,2 7 113,9,98 39 113,9,24
3829,2 95 113,97,60 60 113,97,7
3830,97 69 113,53,92 103 113,53,82
3831,19 84 113,103,73 29 113,103,102
3832,1 111 113,112,16 72 113,112,88
3833,45 0 113,45,50 75 113,45,12
3834,97 47 113,31,39 95 113,31,21
3835,89 28 113,4,17 16 113,4,33
3836,42 72 113,1,85 6 113,1,91
3837,79 21 113,100,6 91 113,100,97
3838,6 1 113,7,33 74 113,7,107
3839,23 70 113,93,42 86 113,93,15
3840,44 45 113,89,95 108 113,89,90
3841,59 7 113,66,56 7 113,66,63
3842,25 79 113,104,87 21 113,104,108
3843,21 72 113,93,21 81 113,93,102
3844,86 15 113,101,27 14 113,101,41
3845,36 66 113,102,79 85 113,102,51
3846,50 100 113,37,70 86 113,37,43
3847,26 15 113,41,30 36 113,41,66
3848,70 82 113,39,106 38 113,39,31
3849,79 75 113,41,37 48 113,41,85
3850,14 88 113,102,13 63 113,102,76
3851,10 23 113,33,20 19 113,33,39
3852,48 81 113,16,62 70 113,16,19
3853,111 80 113,78,91 93 113,78,71
3854,26 59 113,85,48 95 113,85,30
3855,62 80 113,29,41 86 113,29,14
3856,23 42 113,65,107 57 113,65,51
3857,30 55 113,85,16 32 113,85,48
3858,60 4 113,64,75 23 113,64,98
3859,64 18 113,82,94 21 113,82,2
3860,23 59 113,82,33 95 113,82,15
3861,1 86 113,87,90 93 113,87,70
3862,10 37 113,47,4 84 113,47,88
3863,27 45 113,72,108 24 113,72,19
3864,42 65 113,107,90 36 113,107,13
3865,10 72 113,82,104 84 113,82,75
3866,3 13 113,16,15 87 113,16,102
3867,99 41 113,27,97 40 113,27,24
3868,37 112 113,36,47 67 113,36,1
3869,66 22 113,88,37 8 113,88,45
3870,93 58 113,38,7 45 113,38,52
3871,35 11 113,46,100 4 113,46,104
3872,107 60 113,54,54 71 113,54,12
3873,32 97 113,16,34 51 113,16,85
3874,3 107 113,110,41 15 113,110,56
3875,82 67 113,36,51 49 113,36,100
3876,30 19 113,49,57 22 113,49,79
3877,75 96 113,58,57 3 113,58,60
3878,45 38 113,83,112 34 113,83,33
3879,39 95 113,21,62 81 113,21,30
3880,99 59 113,45,69 9 113,45,78
3881,62 9 113,71,2 10 113,71,12
3882,70 15 113,85,43 14 113,85,57
3883,23 85 113,108,14 36 113,108,50
3884,3 15 113,18,66 61 113,18,14
3885,56 79 113,22,98 54 113,22,39
3886,44 15 113,59,23 110 113,59,20
3887,84 74 113,45,54 40 113,45,94
3888,17 108 113,12,93 51 113,12,31
3889,53 33 113,86,90 32 113,86,9
3890,76 50 113,13,54 27 113,13,81
3891,89 72 113,48,19 4 113,48,23
3892,83 28 113,111,64 75 113,111,26
3893,66 102 113,55,25 63 113,55,88
3894,2 94 113,96,48 81 113,96,16
3895,44 84 113,15,42 40 113,15,82
3896,98 41 113,26,92 101 113,26,80
3897,0 20 113,20,62 111 113,20,60
3898,100 26 113,13,57 91 113,13,35
3899,13 47 113,60,83 88 113,60,58
3900,103 29 113,19,57 59 113,19,3
3901,110 14 113,11,35 13 113,11,48
3902,41 21 113,62,1 9 113,62,10
3903,0 90 113,90,29 44 113,90,73
3904,59 75 113,21,13 9 113,21,22
3905,79 107 113,73,99 90 113,73,76
3906,10 32 113,42,110 1 113,42,111
3907,40 59 113,99,1 77 113,99,78
3908,8 54 113,62,10 63 113,62,73
3909,84 39 113,10,43 75 113,10,5
3910,29 42 113,71,39 94 113,71,20
3911,40 62 113,102,99 82 113,102,68
3912,19 22 113,41,15 23 113,41,38
3913,63 69 113,19,86 79 113,19,52
3914,64 22 113,86,10 20 113,86,30
3915,85 71 113,43,12 62 113,43,74
3916,82 87 113,56,112 91 113,56,90
3917,15 32 113,47,8 60 113,47,68
3918,19 4 113,23,84 55 113,23,26
3919,62 8 113,70,53 68 113,70,8
3920,42 31 113,73,7 57 113,73,64
3921,102 80 113,69,90 15 113,69,105
3922,7 53 113,60,6 81 113,60,87
3923,74 33 113,107,102 85 113,107,74
3924,77 4 113,81,55 78 113,81,20
3925,18 86 113,104,64 73 113,104,24
3926,2 111 113,0,38 60 113,0,98
3927,21 86 113,107,36 51 113,107,87
3928,55 82 113,24,11 3 113,24,14
3929,44 62 113,106,66 4 113,106,70
3930,96 17 113,0,89 6 113,0,95
3931,79 77 113,43,60 49 113,43,109
3932,91 77 113,55,43 20 113,55,63
3933,108 50 113,45,96 92 113,45,75
3934,21 35 113,56,55 79 113,56,21
3935,87 67 113,41,40 38 113,41,78
3936,59 73 113,19,102 10 113,19,112
3937,9 63 113,72,36 52 113,72,88
3938,61 111 113,59,101 94 113,59,82
3939,112 7 113,6,97 89 113,6,73
3940,39 43 113,82,94 3 113,82,97
3941,104 76 113,67,61 77 113,67,25
3942,67 34 113,101,12 7 113,101,19
3943,45 1 113,46,76 7 113,46,83
3944,43 94 113,24,103 10 113,24,0
3945,99 65 113,51,55 111 113,51,53
3946,25 70 113,95,80 29 113,95,109
3947,58 37 113,95,99 22 113,95,8
3948,65 45 113,110,100 7 113,110,107
3949,70 4 113,74,99 95 113,74,81
3950,13 22 113,35,35 40 113,35,75
3951,38 110 113,35,47 51 113,35,98
3952,1 106 113,107,43 105 113,107,35
3953,0 74 113,74,97 61 113,74,45
3954,18 80 113,98,26 70 113,98,96
3955,68 102 113,57,67 73 113,57,27
3956,33 72 113,105,28 93 113,105,8
3957,84 60 113,31,82 21 113,31,103
3958,71 75 113,33,13 75 113,33,88
3959,0 27 113,27,53 51 113,27,104
3960,55 54 113,109,37 53 113,109,90
3961,51 58 113,109,47 19 113,109,66
3962,78 84 113,49,62 94 113,49,43
3963,105 63 113,55,54 97 113,55,38
3964,74 7 113,81,77 3 113,81,80
3965,33 76 113,109,51 65 113,109,3
3966,18 24 113,42,106 4 113,42,110
3967,47 63 113,110,78 51 113,110,16
3968,81 57 113,25,79 71 113,25,37
3969,83 33 113,3,107 98 113,3,92
3970,24 90 113,1,79 101 113,1,67
3971,49 65 113,1,53 59 113,1,112
3972,76 16 113,92,57 2 113,92,59
3973,68 7 113,75,24 31 113,75,55
3974,31 36 113,67,48 21 113,67,69
3975,22 4 113,26,92 5 113,26,97
3976,95 108 113,90,69 0 113,90,69
3977,41 33 113,74,18 112 113,74,17
3978,70 11 113,81,26 63 113,81,89
3979,90 30 113,7,83 75 113,7,45
3980,34 74 113,108,40 86 113,108,13
3981,51 11 113,62,81 96 113,62,64
3982,80 109 113,76,66 45 113,76,111
3983,35 75 113,110,48 16 113,110,64
3984,72 59 113,18,89 38 113,18,14
3985,106 2 113,108,96 107 113,108,90
3986,72 55 113,14,32 55 113,14,87
3987,22 44 113,66,15 94 113,66,109
3988,92 104 113,83,84 21 113,83,105
3989,1 26 113,27,40 3 113,27,43
3990,108 17 113,12,86 86 113,12,59
3991,79 43 113,9,37 104 113,9,28
3992,54 64 113,5,112 60 113,5,59
3993,89 25 113,1,56 83 113,1,26
3994,60 42 113,102,28 19 113,102,47
3995,88 60 113,35,43 96 113,35,26
3996,39 40 113,79,13 96 113,79,109
3997,107 20 113,14,28 24 113,14,52
3998,10 55 113,65,72 96 113,65,55
3999,0 97 113,97,31 21 113,97,52
4000,1 18 113,19,87 3 113,19,90
4001,78 56 113,21,9 83 113,21,92
4002,67 48 113,2,3 37 113,2,40
4003,90 84 113,61,70 56 113,61,13
4004,4 50 113,54,59 22 113,54,81
4005,36 90 113,13,58 54 113,13,112
4006,16 100 113,3,93 40 113,3,20
4007,88 0 113,88,88 81 113,88,56
4008,61 40 113,101,43 108 113,101,38
4009,46 19 113,65,66 102 113,65,55
4010,105 62 113,54,72 57 113,54,16
4011,68 101 113,56,2 83 113,56,85
4012,30 47 113,77,89 25 113,77,1
4013,79 15 113,94,19 5 113,94,24
4014,44 51 113,95,72 16 113,95,88
4015,23 17 113,40,16 8 113,40,24
4016,107 30 113,24,69 92 113,24,48
4017,19 74 113,93,87 96 113,93,70
4018,107 44 113,38,109 108 113,38,104
4019,78 82 113,47,105 89 113,47,81
4020,75 52 113,14,48 68 113,14,3
4021,47 80 113,14,68 93 113,14,48
4022,101 29 113,17,9 2 113,17,11
4023,39 51 113,90,62 102 113,90,51
4024,48 106 113,41,20 28 113,41,48
4025,79 109 113,75,8 54 113,75,62
4026,52 0 113,52,36 99 113,52,22
4027,94 40 113,21,69 26 113,21,95
4028,11 110 113,8,64 64 113,8,15
4029,103 44 113,34,91 96 113,34,74
4030,0 109 113,109,96 9 113,109,105
4031,89 74 113,50,102 77 113,50,66
4032,58 30 113,88,63 77 113,88,27
4033,98 90 113,75,7 16 113,75,23
4034,78 80 113,45,58 30 113,45,88
4035,72 104 113,63,30 2 113,63,32
4036,87 5 113,92,90 86 113,92,63
4037,58 72 113,17,54 63 113,17,4
4038,23 7 113,30,64 70 113,30,21
4039,1 48 113,49,85 26 113,49,111
4040,92 57 113,36,107 90 113,36,84
4041,94 68 113,49,44 22 113,49,66
4042,38 99 113,24,46 43 113,24,89
4043,66 25 113,91,103 26 113,91,16
4044,9 7 113,16,47 99 113,16,33
4045,32 19 113,51,1 84 113,51,85
4046,28 74 113,102,95 75 113,102,57
4047,35 63 113,98,41 65 113,98,106
4048,50 29 113,79,108 89 113,79,84
4049,0 32 113,32,82 0 113,32,82
4050,26 81 113,107,83 74 113,107,44
4051,52 14 113,66,36 91 113,66,14
4052,97 111 113,95,54 67 113,95,8
4053,100 54 113,41,79 80 113,41,46
4054,9 60 113,69,30 93 113,69,10
4055,27 22 113,49,43 83 113,49,13
4056,89 98 113,74,60 79 113,74,26
4057,88 10 113,98,41 18 113,98,59
4058,94 72 113,53,82 69 113,53,38
4059,1 91 113,92,108 79 113,92,74
4060,14 53 113,67,12 41 113,67,53
4061,71 12 113,83,52 55 113,83,107
4062,95 98 113,80,96 45 113,80,28
4063,103 60 113,50,104 30 113,50,21
4064,24 34 113,58,84 84 113,58,55
4065,27 78 113,105,26 101 113,105,14
4066,45 94 113,26,32 93 113,26,12
4067,58 108 113,53,100 78 113,53,65
4068,17 66 113,83,100 2 113,83,102
4069,56 100 113,43,44 92 113,43,23
4070,50 69 113,6,108 105 113,6,100
4071,65 102 113,54,79 44 113,54,10
4072,17 40 113,57,20 50 113,57,70
4073,72 1 113,73,67 102 113,73,56
4074,35 94 113,16,33 51 113,16,84
4075,69 4 113,73,5 72 113,73,77
4076,95 105 113,87,63 70 113,87,20
4077,9 46 113,55,32 106 113,55,25
4078,95 41 113,23,107 44 113,23,38
4079,9 42 113,51,26 18 113,51,44
4080,82 66 113,35,46 58 113,35,104
4081,81 87 113,55,54 81 113,55,22
4082,5 70 113,75,21 63 113,75,84
4083,84 81 113,52,35 55 113,52,90
4084,99 20 113,6,6 5 113,6,11
4085,88 65 113,40,50 73 113,40,10
4086,1 90 113,91,32 81 113,91,0
4087,69 5 113,74,6 75 113,74,81
4088,40 7 113,47,95 111 113,47,93
4089,45 31 113,76,63 5 113,76,68
4090,39 55 113,94,18 46 113,94,64
4091,90 58 113,35,104 55 113,35,46
4092,55 65 113,7,10 108 113,7,5
4093,103 76 113,66,19 20 113,66,39
4094,31 75 113,106,80 78 113,106,45
4095,87 63 113,37,77 59 113,37,23
4096,109 71 113,67,49 2 113,67,51
4097,83 57 113,27,16 83 113,27,99
4098,77 64 113,28,52 6 113,28,58
4099,26 13 113,39,61 74 113,39,22
4100,15 84 113,99,26 112 113,99,25
4101,12 8 113,20,101 12 113,20,0
4102,15 35 113,50,37 67 113,50,104
4103,66 2 113,68,108 87 113,68,82
4104,102 24 113,13,33 63 113,13,96
4105,112 27 113,26,58 88 113,26,33
4106,2 110 113,112,58 29 113,112,87
4107,2 99 113,101,21 2 113,101,23
4108,72 73 113,32,48 67 113,32,2
4109,74 98 113,59,98 67 113,59,52
4110,103 41 113,31,60 95 113,31,42
4111,7 38 113,45,94 89 113,45,70
4112,50 103 113,40,34 39 113,40,73
4113,109 46 113,42,11 103 113,42,1
4114,19 27 113,46,10 10 113,46,20
4115,74 109 113,70,0 51 113,70,51
4116,38 21 113,59,4 20 113,59,24
4117,52 110 113,49,94 10 113,49,104
4118,38 44 113,82,62 40 113,82,102
4119,58 14 113,72,4 23 113,72,27
4120,105 39 113,31,88 111 113,31,86
4121,21 63 113,84,52 49 113,84,101
4122,78 62 113,27,78 72 113,27,37
4123,52 75 113,14,50 87 113,14,24
4124,90 33 113,10,38 39 113,10,77
4125,27 26 113,53,26 37 113,53,63
4126,55 7 113,62,77 75 113,62,39
4127,42 38 113,80,54 34 113,80,88
4128,33 0 113,33,95 50 113,33,32
4129,31 71 113,102,112 7 113,102,6
4130,82 102 113,71,49 85 113,71,21
4131,112 25 113,24,92 70 113,24,49
4132,84 103 113,74,40 46 113,74,86
4133,0 39 113,39,26 49 113,39,75
4134,69 100 113,56,66 104 113,56,57
4135,59 58 113,4,66 33 113,4,99
4136,88 97 113,72,69 40 113,72,109
4137,96 77 113,60,112 98 113,60,97
4138,25 8 113,33,27 99 113,33,13
4139,53 58 113,111,31 30 113,111,61
4140,23 71 113,94,79 68 113,94,34
4141,87 107 113,81,27 85 113,81,112
4142,31 55 113,86,64 48 113,86,112
4143,43 53 113,96,92 37 113,96,16
4144,27 85 113,112,5 38 113,112,43
4145,35 32 113,67,80 71 113,67,38
4146,61 105 113,53,53 72 113,53,12
4147,55 30 113,85,68 95 113,85,50
4148,44 12 113,56,99 44 113,56,30
4149,85 9 113,94,58 80 113,94,25
4150,84 37 113,8,100 1 113,8,101
4151,31 66 113,97,92 24 113,97,3
4152,10 51 113,61,45 86 113,61,18
4153,97 88 113,72,62 11 113,72,73
4154,26 50 113,76,6 1 113,76,7
4155,48 4 113,52,24 64 113,52,88
4156,97 15 113,112,47 56 113,112,103
4157,87 46 113,20,30 107 113,20,24
4158,84 3 113,87,53 3 113,87,56
4159,69 96 113,52,30 69 113,52,99
4160,106 44 113,37,83 1 113,37,84
4161,80 47 113,14,22 98 113,14,7
4162,69 59 113,15,53 89 113,15,29
4163,34 10 113,44,84 85 113,44,56
4164,23 41 113,64,103 92 113,64,82
4165,79 54 113,20,17 74 113,20,91
4166,57 84 113,28,107 16 113,28,10
4167,111 105 113,103,6 89 113,103,95
4168,31 3 113,34,110 35 113,34,32
4169,23 69 113,92,110 84 113,92,81
4170,29 56 113,85,44 15 113,85,59
4171,12 85 113,97,100 21 113,97,8
4172,31 62 113,93,3 5 113,93,8
4173,75 13 113,88,26 65 113,88,91
4174,8 15 113,23,111 3 113,23,1
4175,14 34 113,48,58 98 113,48,43
4176,86 25 113,111,66 108 113,111,61
4177,67 3 113,70,72 77 113,70,36
4178,94 74 113,55,30 7 113,55,37
4179,29 33 113,62,93 21 113,62,1
4180,2 24 113,26,102 37 113,26,26
4181,101 76 113,64,18 41 113,64,59
